date,quantity,price,ticker,cusip
2022-05-02,19305,13.61,BBBY,075896100
2022-05-03,43076,13.72,BBBY,075896100
2022-05-04,138772,14.04,BBBY,075896100
2022-05-05,153,14.22,BBBY,075896100
2022-05-09,374530,12.07,BBBY,075896100
2022-05-10,89173,10.97,BBBY,075896100
2022-05-11,4800,10.11,BBBY,075896100
2022-05-12,50,9.22,BBBY,075896100
2022-05-13,351,9.40,BBBY,075896100
2022-05-16,33739,9.64,BBBY,075896100
2022-05-17,80,9.40,BBBY,075896100
2022-05-18,20,9.76,BBBY,075896100
2022-05-19,23,8.90,BBBY,075896100
2022-05-23,368,8.70,BBBY,075896100
2022-05-24,110492,8.33,BBBY,075896100
2022-05-25,358,7.81,BBBY,075896100
2022-05-26,11425,8.18,BBBY,075896100
2022-05-27,604781,8.54,BBBY,075896100
2022-05-31,6189,9.23,BBBY,075896100
2022-06-01,516,8.65,BBBY,075896100
2022-06-02,325,8.38,BBBY,075896100
2022-06-07,18508,8.10,BBBY,075896100
2022-06-08,381,8.42,BBBY,075896100
2022-06-09,14865,8.15,BBBY,075896100
2022-06-10,1460,7.36,BBBY,075896100
2022-06-13,375457,7.12,BBBY,075896100
2022-06-15,70583,6.95,BBBY,075896100
2022-06-22,17496,6.70,BBBY,075896100
2022-06-23,33434,6.57,BBBY,075896100
2022-06-24,226889,7.13,BBBY,075896100
2022-06-27,5189,7.00,BBBY,075896100
2022-06-29,5911,6.53,BBBY,075896100
2022-06-30,10627,4.99,BBBY,075896100
2022-07-01,58165,4.97,BBBY,075896100
2022-07-05,276104,4.71,BBBY,075896100
2022-07-06,471927,4.64,BBBY,075896100
2022-07-07,177837,4.47,BBBY,075896100
2022-07-08,777475,5.44,BBBY,075896100
2022-07-11,3152293,5.09,BBBY,075896100
2022-07-12,1195149,4.80,BBBY,075896100
2022-07-13,26028,5.04,BBBY,075896100
2022-07-14,44480,5.08,BBBY,075896100
2022-07-15,3887,4.73,BBBY,075896100
2022-07-18,79958,4.96,BBBY,075896100
2022-07-19,836,4.96,BBBY,075896100
2022-07-20,31937,5.25,BBBY,075896100
2022-07-21,136983,5.59,BBBY,075896100
2022-07-22,207048,5.81,BBBY,075896100
2022-07-25,4003,5.11,BBBY,075896100
2022-07-26,3512,5.04,BBBY,075896100
2022-07-27,4501,4.60,BBBY,075896100
2022-07-28,16576,4.68,BBBY,075896100
2022-07-29,44600,4.84,BBBY,075896100
2022-08-01,86853,5.03,BBBY,075896100
2022-08-02,7824,5.77,BBBY,075896100
2022-08-03,35958,5.79,BBBY,075896100
2022-08-04,35134,6.07,BBBY,075896100
2022-08-05,10684,6.15,BBBY,075896100
2022-08-08,50527,8.16,BBBY,075896100
2022-08-09,228529,11.41,BBBY,075896100
2022-08-10,914417,9.79,BBBY,075896100
2022-08-11,1340400,10.51,BBBY,075896100
2022-08-12,1634140,10.63,BBBY,075896100
2022-08-15,430594,12.95,BBBY,075896100
2022-08-16,1393039,16.00,BBBY,075896100
2022-08-17,1289068,20.65,BBBY,075896100
2022-08-18,1390319,23.08,BBBY,075896100
2022-08-19,267120,18.55,BBBY,075896100
2022-08-22,153516,11.03,BBBY,075896100
2022-08-23,1021289,9.24,BBBY,075896100
2022-08-24,791446,8.78,BBBY,075896100
2022-08-25,562542,10.36,BBBY,075896100
2022-08-26,323709,10.10,BBBY,075896100
2022-08-29,215755,10.70,BBBY,075896100
2022-08-30,13690,13.35,BBBY,075896100
2022-08-31,219947,12.11,BBBY,075896100
2022-09-01,333395,9.53,BBBY,075896100
2022-09-02,722260,8.71,BBBY,075896100
2022-09-06,495807,8.63,BBBY,075896100
2022-09-07,411847,7.04,BBBY,075896100
2022-09-08,577774,7.91,BBBY,075896100
2022-09-09,303076,8.24,BBBY,075896100
2022-09-12,144072,8.93,BBBY,075896100
2022-09-13,138122,9.17,BBBY,075896100
2022-09-14,304679,8.37,BBBY,075896100
2022-09-15,239461,8.76,BBBY,075896100
2022-09-16,271022,8.79,BBBY,075896100
2022-09-19,277871,8.02,BBBY,075896100
2022-09-20,656011,8.03,BBBY,075896100
2022-09-21,245088,7.60,BBBY,075896100
2022-09-22,110392,7.27,BBBY,075896100
2022-09-23,176218,7.09,BBBY,075896100
2022-09-26,98425,6.67,BBBY,075896100
