date,quantity
2014-09-15,207
2014-09-16,458
2014-09-17,6937
2014-09-18,1004
2014-09-19,207
2014-09-22,2594
2014-09-23,222
2014-09-24,66604
2014-09-25,13270
2014-09-26,10642
2014-09-29,1250
2014-09-30,17041
2014-10-01,2461
2014-10-02,2007
2014-10-03,19377
2014-10-06,136364
2014-10-08,4435
2014-10-09,123930
2014-10-10,112510
2014-10-14,233
2014-10-15,422
2014-10-16,208199
2014-10-17,48181
2014-10-20,2600
2014-10-21,1412
2014-10-22,669
2014-10-23,3263
2014-10-24,380
2014-10-27,94
2014-10-28,895
2014-10-29,5981
2014-10-30,1898
2014-10-31,1799
2014-11-03,1104
2014-11-04,595
2014-11-05,1047
2014-11-06,1234
2014-11-07,550
2014-11-10,149459
2014-11-12,12259
2014-11-13,103
2014-11-14,41426
2014-11-17,49864
2014-11-18,9703
2014-11-19,5772
2014-11-20,4007
2014-11-21,76351
2014-11-24,447
2014-11-25,9830
2014-11-26,8891
2014-11-28,6813
2014-12-01,5447
2014-12-02,13968
2014-12-03,1090
2014-12-04,1443
2014-12-05,111
2014-12-08,4754
2014-12-09,19932
2014-12-10,806
2014-12-12,2471
2014-12-16,6099
2014-12-17,6495
2014-12-18,1786
2014-12-19,1298
2014-12-22,6110
2014-12-23,20289
2014-12-24,152362
2014-12-26,4103
2014-12-29,74537
2014-12-30,1037
2014-12-31,2889
2015-01-02,661
2015-01-05,22009
2015-01-06,812
2015-01-07,2200
2015-01-08,775
2015-01-09,1663
2015-01-12,183
2015-01-13,18
2015-01-14,854
2015-01-15,27768
2015-01-16,18162
2015-01-20,20375
2015-01-21,3707
2015-01-22,104583
2015-01-23,13877
2015-01-26,48265
2015-01-27,1332
2015-01-28,2447
2015-01-29,14839
2015-01-30,24918
2015-02-02,1420
2015-02-03,537
2015-02-04,1207
2015-02-05,484
2015-02-06,4167
2015-02-09,13259
2015-02-10,7648
2015-02-11,999
2015-02-12,62312
2015-02-13,63644
2015-02-17,350226
2015-02-18,192306
2015-02-19,133737
2015-02-20,67479
2015-02-23,1246
2015-02-24,32630
2015-02-25,16811
2015-02-26,1000
2015-02-27,90493
2015-03-02,12592
2015-03-03,101453
2015-03-04,82328
2015-03-05,88437
2015-03-06,439
2015-03-09,15729
2015-03-10,235
2015-03-11,245
2015-03-12,1532
2015-03-13,44673
2015-03-16,10736
2015-03-17,18186
2015-03-18,3595
2015-03-19,47416
2015-03-20,1478
2015-03-23,50859
2015-03-24,33370
2015-03-25,42863
2015-03-26,25012
2015-03-27,874
2015-03-30,118656
2015-03-31,16034
2015-04-01,6890
2015-04-02,29496
2015-04-06,25042
2015-04-07,19355
2015-04-08,2541
2015-04-09,15136
2015-04-10,29659
2015-04-13,8955
2015-04-14,32791
2015-04-15,38266
2015-04-16,5656
2015-04-17,3738
2015-04-20,27864
2015-04-21,429
2015-04-22,558
2015-04-23,14261
2015-04-24,2586
2015-04-27,10908
2015-04-28,19613
2015-04-29,3369
2015-04-30,7990
2015-05-01,5325
2015-05-04,4152
2015-05-05,231
2015-05-06,2464
2015-05-07,8133
2015-05-08,495
2015-05-11,6033
2015-05-12,15751
2015-05-13,26397
2015-05-14,3562
2015-05-15,9606
2015-05-18,141
2015-05-19,1814
2015-05-20,68977
2015-05-21,55871
2015-05-22,8037
2015-05-26,18438
2015-05-27,5568
2015-05-28,1910
2015-05-29,10677
2015-06-01,2791
2015-06-02,2394
2015-06-03,5371
2015-06-04,8898
2015-06-05,11644
2015-06-08,513
2015-06-10,17521
2015-06-11,7237
2015-06-12,75156
2015-06-15,14167
2015-06-16,7819
2015-06-17,11827
2015-06-18,5169
2015-06-19,1265
2015-06-22,47838
2015-06-23,23593
2015-06-24,25322
2015-06-25,37135
2015-06-26,3019
2015-06-29,17815
2015-06-30,4390
2015-07-01,8400
2015-07-02,8239
2015-07-06,16849
2015-07-07,174
2015-07-08,14206
2015-07-09,16235
2015-07-10,87350
2015-07-13,3667
2015-07-14,33254
2015-07-15,1119
2015-07-16,3484
2015-07-17,290
2015-07-20,2602
2015-07-22,7437
2015-07-23,2430
2015-07-24,935
2015-07-28,1015
2015-07-29,3750
2015-07-30,1454
2015-07-31,2253
2015-08-03,27507
2015-08-04,323
2015-08-05,1542
2015-08-06,1536
2015-08-07,3107
2015-08-10,32
2015-08-11,3388
2015-08-12,1577
2015-08-13,1266
2015-08-14,309
2015-08-17,1538
2015-08-18,2000
2015-08-19,15
2015-08-20,4266
2015-08-21,14407
2015-08-24,40864
2015-08-25,797
2015-08-26,102279
2015-08-27,10448
2015-08-28,43769
2015-08-31,1622
2015-09-01,44308
2015-09-02,35723
2015-09-03,3183
2015-09-04,468
2015-09-08,18460
2015-09-09,3213
2015-09-10,2704
2015-09-11,31749
2015-09-14,543
2015-09-15,1549
2015-09-16,1697
2015-09-17,270
2015-09-18,1106
2015-09-21,10253
2015-09-22,3021
2015-09-23,3141
2015-09-24,31097
2015-09-25,1677
2015-09-28,18502
2015-09-29,8710
2015-09-30,2782
2015-10-01,25947
2015-10-02,17902
2015-10-05,18890
2015-10-06,46827
2015-10-07,162983
2015-10-08,32492
2015-10-09,12437
2015-10-13,195
2015-10-14,85
2015-10-15,59
2015-10-16,5841
2015-10-19,1731
2015-10-20,27957
2015-10-21,220
2015-10-22,9364
2015-10-23,53853
2015-10-26,273
2015-10-27,17245
2015-10-28,71
2015-10-29,40297
2015-10-30,308
2015-11-02,2130
2015-11-03,2710
2015-11-04,5099
2015-11-05,1104
2015-11-06,5576
2015-11-09,13095
2015-11-10,21382
2015-11-12,3982
2015-11-13,1139
2015-11-16,305977
2015-11-17,3385
2015-11-18,3895
2015-11-19,32277
2015-11-20,77967
2015-11-23,59198
2015-11-24,2290
2015-11-25,46809
2015-11-27,65806
2015-11-30,1180
2015-12-01,103941
2015-12-02,39753
2015-12-03,141450
2015-12-04,24359
2015-12-07,1316
2015-12-08,4887
2015-12-09,1300
2015-12-10,2627
2015-12-11,3004
2015-12-14,48224
2015-12-15,465
2015-12-16,232546
2015-12-17,1420
2015-12-18,2026
2015-12-21,12215
2015-12-22,40395
2015-12-23,36011
2015-12-24,209
2015-12-28,453
2015-12-29,200
2015-12-30,4722
2015-12-31,8284
2016-01-04,16063
2016-01-05,449
2016-01-06,44432
2016-01-07,31615
2016-01-08,35040
2016-01-11,98958
2016-01-12,37861
2016-01-13,115114
2016-01-14,76897
2016-01-15,68502
2016-01-19,105313
2016-01-20,291159
2016-01-21,170840
2016-01-22,222519
2016-01-25,188774
2016-01-26,189072
2016-01-28,16134
2016-01-29,75168
2016-02-01,36841
2016-02-02,28650
2016-02-03,440
2016-02-04,16258
2016-02-05,11927
2016-02-08,20692
2016-02-09,21492
2016-02-10,158
2016-02-11,35774
2016-02-12,19407
2016-02-16,95219
2016-02-17,18004
2016-02-18,8718
2016-02-19,131946
2016-02-22,343897
2016-02-23,196926
2016-02-24,223298
2016-02-25,227985
2016-02-26,418008
2016-02-29,141154
2016-03-01,182048
2016-03-02,331043
2016-03-03,253229
2016-03-04,212741
2016-03-07,39378
2016-03-08,20352
2016-03-09,9913
2016-03-10,70538
2016-03-11,108738
2016-03-14,143612
2016-03-15,153523
2016-03-16,67158
2016-03-17,37895
2016-03-18,210962
2016-03-21,244532
2016-03-22,239301
2016-03-23,148480
2016-03-24,150439
2016-03-28,135312
2016-03-29,38870
2016-03-30,4326
2016-03-31,33766
2016-04-01,5073
2016-04-04,112935
2016-04-05,252180
2016-04-06,186966
2016-04-07,185382
2016-04-08,146216
2016-04-11,92479
2016-04-12,53565
2016-04-13,226
2016-04-14,1688
