date,quantity,price,ticker,cusip
2022-10-11,195,26.19,OSTK,690370101
2022-10-12,300,26.14,OSTK,690370101
2022-10-13,2197,26.37,OSTK,690370101
2022-10-25,26799,25.01,OSTK,690370101
2022-10-26,103,25.36,OSTK,690370101
2022-10-27,11,25.63,OSTK,690370101
2022-10-28,11,23.28,OSTK,690370101
2022-11-04,1877,21.20,OSTK,690370101
2022-11-10,1883,22.11,OSTK,690370101
2022-11-15,6648,25.45,OSTK,690370101
2022-11-16,1,25.43,OSTK,690370101
2022-11-21,178,24.19,OSTK,690370101
2022-11-23,9741,23.84,OSTK,690370101
2022-11-25,3188,24.62,OSTK,690370101
2022-11-30,6818,25.29,OSTK,690370101
2022-12-01,451,26.62,OSTK,690370101
2022-12-02,2645,26.24,OSTK,690370101
2022-12-05,2086,26.59,OSTK,690370101
2022-12-06,5847,25.60,OSTK,690370101
2022-12-08,4896,24.44,OSTK,690370101
2022-12-09,1271,23.87,OSTK,690370101
2022-12-12,500,22.92,OSTK,690370101
2022-12-13,1440,22.59,OSTK,690370101
2022-12-16,1,20.87,OSTK,690370101
2022-12-19,14734,20.43,OSTK,690370101
2022-12-22,16614,19.90,OSTK,690370101
2022-12-23,7257,19.09,OSTK,690370101
2022-12-27,44,19.75,OSTK,690370101
2022-12-28,27034,18.43,OSTK,690370101
2022-12-30,4571,19.30,OSTK,690370101
2023-01-04,1186,18.88,OSTK,690370101
2023-01-05,100,18.46,OSTK,690370101
2023-01-11,1424,20.16,OSTK,690370101
2023-01-12,4640,21.00,OSTK,690370101
2023-01-13,5222,21.34,OSTK,690370101
2023-01-17,690,20.50,OSTK,690370101
2023-01-18,32810,21.11,OSTK,690370101
2023-01-19,10698,20.11,OSTK,690370101
2023-01-20,4902,20.20,OSTK,690370101
2023-01-23,626,21.41,OSTK,690370101
2023-01-26,310,22.18,OSTK,690370101
2023-01-27,522,22.58,OSTK,690370101
2023-01-30,275,24.20,OSTK,690370101
2023-01-31,600,23.73,OSTK,690370101
2023-02-01,136,24.21,OSTK,690370101
2023-02-02,1466,24.38,OSTK,690370101
2023-02-03,84,25.14,OSTK,690370101
2023-02-06,1114,23.87,OSTK,690370101
2023-02-07,710,22.96,OSTK,690370101
2023-02-08,1244,23.14,OSTK,690370101
2023-02-09,23100,21.53,OSTK,690370101
2023-02-10,16491,20.73,OSTK,690370101
2023-02-13,21518,20.76,OSTK,690370101
2023-02-14,494,21.74,OSTK,690370101
2023-02-16,2328,23.13,OSTK,690370101
2023-02-17,63,21.80,OSTK,690370101
2023-02-21,59,21.84,OSTK,690370101
2023-02-22,54,21.06,OSTK,690370101
2023-02-24,19149,20.69,OSTK,690370101
2023-02-27,3157,19.85,OSTK,690370101
2023-02-28,429,19.82,OSTK,690370101
2023-03-01,22843,19.37,OSTK,690370101
2023-03-02,16999,18.76,OSTK,690370101
2023-03-03,960,18.77,OSTK,690370101
2023-03-06,22405,19.01,OSTK,690370101
2023-03-07,9449,18.75,OSTK,690370101
2023-03-08,180,18.91,OSTK,690370101
2023-03-09,294,18.43,OSTK,690370101
2023-03-13,442,18.06,OSTK,690370101
2023-03-14,429,17.92,OSTK,690370101
2023-03-15,829,17.77,OSTK,690370101
2023-03-16,612,17.69,OSTK,690370101
2023-03-17,584,17.89,OSTK,690370101
