date,quantity,price
2024-09-26,1,1.16
2024-10-02,169,1.16
2024-10-09,542,1.19
2024-10-11,84,1.18
2024-10-15,2782,1.18
2024-10-16,2191,1.18
2024-10-28,2270,1.29
2024-11-12,1532,1.43
2024-11-13,106,1.31
2024-12-19,277,1.02
2025-01-09,1520,1.23
2025-01-10,1526,1.23
2025-01-13,182,1.19
2025-01-17,485,1.21
2025-01-27,229,1.14
2025-01-30,1,1.1
2025-02-13,4824,1.0
2025-02-21,10103,0.81
2025-03-06,63482,0.91
2025-03-10,9229,0.92
2025-03-12,3406,0.96
2025-03-14,22929,0.97
2025-03-19,7473,0.95
2025-03-24,2599,0.88
2025-03-28,2484,0.91
2025-04-02,6179,0.84
2025-04-04,2,0.76
2025-04-07,12488,0.75
2025-04-09,187,0.73
2025-04-15,770,0.77
2025-04-17,6725,0.75
2025-04-24,8586,0.78
2025-05-20,103,1.02
2025-05-27,5271,0.95
2025-06-09,1670,0.93
2025-06-10,1670,0.92
2025-06-11,6,0.98
2025-06-26,2,0.73
2025-06-30,4,0.71
2025-08-05,2705,0.49
2025-08-18,5753,0.56
2025-08-20,7515,0.52
2025-09-09,9976,0.53
2025-09-22,148,0.55
2025-09-29,40474,0.58
2025-10-07,173,0.62
2025-10-09,17390800,0.27
2025-10-10,1100,0.25
2025-10-14,19092,0.23
2025-10-15,43415,0.23
2025-10-20,30033,0.2
2025-10-21,54040,0.21
2025-10-28,97866,0.24
2025-11-04,9983,0.2
2025-11-07,64625,0.17
2025-11-13,9825,0.17
2025-11-19,106099,0.15
2025-11-25,96224,0.16
2025-11-26,187409,0.17
2025-12-04,4,0.15
2025-12-08,99201,0.19
2025-12-09,47975,0.17
2025-12-11,8519,0.16
2025-12-12,5974,0.17
2025-12-16,3,0.15
2025-12-17,21909,0.15
2025-12-19,189547,0.14
2025-12-22,696,0.16
2025-12-23,6066,0.15
2025-12-24,153721,0.15
2025-12-26,46869,0.15
2025-12-29,4400,0.15
2025-12-31,126535,0.14
