date,quantity
2013-02-13,226
2013-02-14,827
2013-02-15,1
2013-02-19,210
2013-02-20,1898
2013-02-22,9
2013-02-25,163
2013-02-26,500
2013-02-28,1144
2013-03-01,1905
2013-03-04,339
2013-03-05,87
2013-03-06,506
2013-03-07,1886
2013-03-08,98
2013-03-11,1645
2013-03-12,6537
2013-03-13,6448
2013-03-14,10987
2013-03-15,919
2013-03-18,890
2013-03-19,1690
2013-03-21,68
2013-03-25,6
2013-03-26,222
2013-03-27,11679
2013-03-28,265
2013-04-03,115
2013-04-05,30
2013-04-09,2255
2013-04-10,465
2013-04-11,109
2013-04-12,8
2013-04-15,172
2013-04-16,776
2013-04-17,36723
2013-04-18,500
2013-04-19,175
2013-04-22,50707
2013-04-23,4546
2013-04-24,272
2013-04-25,54
2013-04-26,30362
2013-04-29,129
2013-04-30,6110
2013-05-01,4
2013-05-02,4095
2013-05-03,11
2013-05-07,164
2013-05-08,3397
2013-05-09,1016
2013-05-10,2500
2013-05-13,3001
2013-05-14,3000
2013-05-15,12
2013-05-16,65
2013-05-17,100
2013-05-20,1760
2013-05-21,1251
2013-05-22,22
2013-05-23,8276
2013-05-24,88
2013-05-28,61
2013-05-29,4458
2013-05-30,810
2013-05-31,7624
2013-06-03,250
2013-06-04,7005
2013-06-05,3944
2013-06-06,4967
2013-06-07,110
2013-06-10,237
2013-06-11,855
2013-06-12,2870
2013-06-13,822
2013-06-14,74
2013-06-18,121
2013-06-19,20984
2013-06-20,110
2013-06-21,53926
2013-06-24,24301
2013-06-25,27
2013-06-27,3734
2013-06-28,11555
2013-07-01,142
2013-07-02,26
2013-07-03,917
2013-07-05,1949
2013-07-08,609
2013-07-09,40
2013-07-10,31
2013-07-11,5508
2013-07-12,6968
2013-07-15,10303
2013-07-16,10934
2013-07-17,1
2013-07-18,2412
2013-07-19,9790
2013-07-22,7649
2013-07-23,4
2013-07-24,3051
2013-07-25,1055
2013-07-26,237
2013-07-29,42
2013-07-30,78
2013-07-31,327
2013-08-01,234
2013-08-02,306
2013-08-05,269743
2013-08-06,101
2013-08-07,79
2013-08-08,1464
2013-08-12,72800
2013-08-13,270
2013-08-14,1
2013-08-15,749
2013-08-19,753
2013-08-20,1537
2013-08-21,165
2013-08-22,1027
2013-08-23,123289
2013-08-27,468
2013-08-28,401
2013-08-29,110
2013-08-30,180
2013-09-04,151
2013-09-05,106445
2013-09-06,170
2013-09-09,100
2013-09-11,175015
2013-09-12,1505
2013-09-13,25
2013-09-16,280
2013-09-17,1012
2013-09-18,3449
2013-09-19,50931
2013-09-20,2375
2013-09-23,7094
2013-09-24,1642
2013-09-25,36
2013-09-26,8562
2013-09-27,26863
2013-09-30,100
2013-10-01,518
2013-10-02,17000
2013-10-03,16767
2013-10-04,975
2013-10-07,495
2013-10-08,50
2013-10-09,175
2013-10-10,1351
2013-10-11,69585
2013-10-15,571
2013-10-16,279
2013-10-17,4483
2013-10-18,19
