date,quantity,price
2024-01-12,568,8.1
2024-01-17,175,7.77
2024-01-18,1362,7.4
2024-01-19,5585,7.4
2024-01-22,1106,7.45
2024-01-23,252,7.36
2024-01-24,1588,7.45
2024-01-25,1395,7.4
2024-01-26,350,7.29
2024-01-29,950,7.2
2024-01-30,2661,7.14
2024-01-31,2073,7.12
2024-02-01,3402,7.16
2024-02-02,9,6.12
2024-02-05,4600,5.01
2024-02-06,18275,4.05
2024-02-07,20461,3.92
2024-02-08,8901,3.83
2024-02-09,13015,3.89
2024-02-12,3006,4.28
2024-02-13,7029,3.75
2024-02-15,55270,2.04
2024-02-16,94191,2.76
2024-02-20,160567,2.83
2024-02-21,16906,2.54
2024-02-22,24096,2.69
2024-02-23,16612,2.59
2024-02-26,317,2.64
2024-02-27,335,2.52
2024-02-28,335,2.78
2024-02-29,323,2.61
2024-03-05,1356,2.54
2024-03-06,11590,2.23
2024-03-07,854,2.29
2024-03-08,789,1.72
2024-03-11,95521,1.6
2024-03-12,9663,1.3
2024-03-13,46291,1.33
2024-03-15,1666,1.37
2024-03-18,118,1.27
2024-03-19,100,1.34
2024-03-20,100,1.27
2024-03-28,1,1.45
2024-04-01,27,1.3
2024-04-03,39,1.3
2024-04-05,6124,0.67
2024-04-08,28397,0.66
2024-04-09,11220,0.71
2024-04-10,7140,0.7
2024-04-15,41,0.75
2024-04-16,518,0.77
2024-04-22,1929,0.7
